〣	vjj
㐀	hfh
㐁	fyus
㐂	hhha
㐃	xjv
㐄	ffvj
㐅	hei
㐆	buvq
㐇	jvq
㐈	gvq
㐉	qva
㐊	iva
㐋	dva
㐌	gjq
㐍	mvq
㐎	ivp
㐏	pva
㐐	dovn
㐑	mtvq
㐒	okvn
㐓	qkva
㐔	tvp
㐕	tvm
㐖	ikva
㐗	ryva
㐘	cvp
㐙	ixva
㐚	pkva
㐛	lekv
㐜	cja
㐝	jckv
㐞	nva
㐟	wvvm
㐠	mqvv
㐡	jrwn
㐢	fmnv
㐣	kuvp
㐤	janw
㐥	qvav
㐦	efvv
㐧	ivje
㐨	yyv
㐩	osos
㐪	piuo
㐫	psu
㐬	lifv
㐭	pyky
㐮	sfyo
㐯	tkth
㐰	lkt
㐱	upe
㐲	lnw
㐳	lfsq
㐴	lbw
㐵	ljr
㐶	lbq
㐷	let
㐸	law
㐹	lhq
㐺	lluw
㐻	lwuw
㐼	ledr
㐽	lahw
㐾	lkq
㐿	lyr
㑀	lniw
㑁	linr
㑂	lpuw
㑃	lgae
㑄	lbw
㑅	lgwt
㑆	lksq
㑇	lcut
㑈	lngw
㑉	laew
㑊	lpsn
㑋	lqt
㑌	lybt
㑍	ldpw
㑎	lxnr
㑏	lwuw
㑐	lwgw
㑑	lett
㑒	ukuw
㑓	lleo
㑔	lrww
㑕	lnbw
㑖	lljr
㑗	lme
㑘	lxdr
㑙	lcvq
㑚	lxpr
㑛	lbw
㑜	ljhr
㑝	lbdr
㑞	lddr
㑟	lonw
㑠	lvod
㑡	lrnr
㑢	ldln
㑣	lxw
㑤	lmot
㑥	lhck
㑦	lsjw
㑧	ltnt
㑨	lkrw
㑩	lobw
㑪	lirt
㑫	lkqw
㑬	ldrt
㑭	lofs
㑮	lrur
㑯	lrmw
㑰	lekw
㑱	lyes
㑲	lywi
㑳	lcie
㑴	luro
㑵	larw
㑶	lhcw
㑷	lbhq
㑸	lrqk
㑹	utht
㑺	lfbe
㑻	lwqn
㑼	lomk
㑽	lodt
㑾	laut
㑿	lxhs
㒀	lgwr
㒁	lydi
㒂	lmut
㒃	lqom
㒄	lajw
㒅	lpby
㒆	lpgg
㒇	lgdw
㒈	lvcl
㒉	losw
㒊	loiq
㒋	lnhr
㒌	ldda
㒍	lllg
㒎	lfnv
㒏	lstw
㒐	lrch
㒑	lyff
㒒	lrkn
㒓	ldks
㒔	locu
㒕	lpcf
㒖	lmhe
㒗	lmog
㒘	lhox
㒙	lndc
㒚	lmhq
㒛	lggf
㒜	lefn
㒝	lmoi
㒞	lnfv
㒟	lpfy
㒠	lhbf
㒡	lmng
㒢	luvm
㒣	lklq
㒤	lccc
㒥	lncx
㒦	lood
㒧	lpsf
㒨	leeb
㒩	leku
㒪	uhhw
㒫	fsa
㒬	kbg
㒭	ksks
㒮	kws
㒯	pmgj
㒰	ght
㒱	gbw
㒲	ght
㒳	wjgg
㒴	ginr
㒵	dnw
㒶	ndt
㒷	wufn
㒸	awo
㒹	anan
㒺	wxuv
㒻	wtsm
㒼	tms
㒽	wlcm
㒾	wujm
㒿	wpsf
㓀	rpo
㓁	civi
㓂	rkdy
㓃	rueh
㓄	llls
㓅	uqu
㓆	unp
㓇	ujo
㓈	ugy
㓉	uby
㓊	uwiy
㓋	upno
㓌	uuby
㓍	unsp
㓎	uuro
㓏	uwnk
